California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
92615,245,222,,
92616,91,114,,
92617,2071,2150,,
92618,16265,17682,,
92619,304,282,,
92620,14493,15284,,
92623,294,233,,
92624,2531,2364,,
92625,3890,3913,,
92626,17405,17671,,
92627,22346,23461,,
92628,215,215,,
92629,8693,9119,,
92630,21385,21763,,
92637,10619,10973,,
92646,19026,19309,,
92647,22068,23552,,
92648,15150,15719,,
92649,11123,10890,,
92650,17,11,,
92651,8015,8012,,
92652,265,262,,
92653,10103,10864,,
92654,192,181,,
92655,3369,3485,,
92656,13616,14134,,
92657,2639,2542,,
92658,504,536,,
92659,251,271,,
92660,11076,11080,,
92661,997,890,,
92662,942,916,,
92663,7270,7708,,
92672,10827,11500,,
92673,7591,7852,,
92674,225,290,,
92675,11951,12612,,
92676,655,690,,
92677,19210,20009,,
92678,144,143,,
92679,7370,7290,,
92683,30704,31944,,
92684,125,130,,
92685,168,155,,
92688,11337,11403,,
92690,201,181,,
92691,14972,15584,,
92692,14104,14215,,
92693,120,125,,
92694,8994,9044,,
92697,36,27,,
92698,4,6,,
92701,22042,23744,,
92702,408,1280,,
92703,27469,29702,,
92704,33626,35841,,
92705,18251,20315,,
92706,14707,15883,,
92707,24480,25870,,
92708,19802,20600,,
